InquiryDate,DailyAdmission
8/22/2017,41
8/23/2017,47
8/24/2017,56
8/25/2017,63
8/26/2017,70
8/27/2017,70
8/28/2017,73
8/29/2017,77
8/30/2017,86
8/31/2017,92
9/1/2017,94
9/2/2017,94
9/3/2017,94
9/4/2017,94
9/5/2017,96
9/6/2017,102
9/7/2017,104
9/8/2017,105
9/9/2017,120
9/10/2017,120
9/11/2017,129
9/12/2017,131
9/13/2017,139
9/14/2017,142
9/15/2017,150
9/16/2017,163
9/17/2017,163
9/18/2017,165
9/19/2017,165
9/20/2017,169
9/21/2017,174
9/22/2017,181
9/23/2017,187
9/24/2017,187
9/25/2017,191
9/26/2017,197
9/27/2017,201
9/28/2017,204
9/29/2017,209
9/30/2017,213
10/1/2017,213
10/2/2017,216
10/3/2017,217
10/4/2017,223
10/5/2017,228
10/6/2017,230
10/7/2017,234
10/8/2017,234
10/9/2017,242
10/10/2017,245
10/11/2017,250
10/12/2017,252
10/13/2017,259
10/14/2017,269
10/15/2017,269
10/16/2017,272
10/17/2017,276
10/18/2017,280
10/19/2017,284
10/20/2017,284
10/22/2017,294
10/23/2017,298
10/24/2017,302
10/25/2017,306
10/26/2017,308
10/27/2017,310
10/28/2017,314
10/29/2017,109
10/30/2017,114
10/31/2017,118
11/1/2017,124
11/2/2017,128
11/3/2017,131
11/4/2017,131
11/5/2017,131
11/6/2017,138
11/7/2017,140
11/8/2017,146
11/9/2017,152
11/10/2017,159
11/11/2017,171
11/12/2017,171
11/13/2017,174
11/14/2017,178
11/15/2017,189
11/16/2017,194
11/17/2017,199
11/18/2017,199
11/19/2017,199
11/20/2017,207
11/21/2017,216
11/22/2017,218
11/23/2017,218
11/24/2017,218
11/25/2017,218
11/26/2017,218
11/27/2017,224
11/28/2017,227
11/29/2017,234
11/30/2017,236
12/1/2017,240
12/2/2017,248
12/3/2017,248
12/4/2017,255
12/5/2017,260
12/6/2017,261
12/7/2017,267
12/8/2017,268
12/9/2017,275
12/10/2017,275
12/11/2017,281
12/12/2017,288
12/13/2017,294
12/14/2017,295
12/15/2017,303
12/16/2017,307
12/17/2017,307
12/18/2017,312
12/19/2017,314
12/20/2017,315
12/21/2017,320
12/22/2017,327
12/23/2017,327
12/24/2017,327
12/25/2017,327
12/26/2017,327
12/27/2017,329
12/28/2017,337
12/29/2017,341
12/30/2017,341
12/31/2017,341
1/1/2018,341
1/2/2018,341
1/3/2018,343
1/4/2018,346
1/5/2018,349
1/6/2018,356
1/7/2018,356
1/8/2018,362
1/9/2018,369
1/10/2018,375
1/11/2018,383
1/12/2018,385
1/13/2018,392
1/14/2018,392
1/15/2018,398
1/16/2018,402
1/17/2018,408
1/18/2018,409
1/19/2018,413
1/20/2018,422
1/21/2018,81
1/22/2018,81
1/23/2018,90
1/24/2018,94
1/25/2018,97
1/26/2018,100
1/27/2018,106
1/28/2018,106
1/29/2018,113
1/30/2018,118
1/31/2018,121
2/1/2018,128
2/2/2018,130
2/3/2018,140
2/4/2018,140
2/5/2018,142
2/6/2018,144
2/7/2018,150
2/8/2018,154
2/10/2018,164
2/11/2018,164
2/12/2018,167
2/13/2018,171
2/14/2018,177
2/15/2018,183
2/16/2018,186
2/17/2018,193
2/18/2018,193
2/19/2018,193
2/20/2018,199
2/21/2018,204
2/22/2018,211
2/23/2018,212
2/24/2018,221
2/25/2018,221
2/26/2018,225
2/27/2018,233
2/28/2018,239
3/1/2018,241
3/2/2018,242
3/3/2018,247
3/4/2018,247
3/5/2018,249
3/6/2018,255
3/7/2018,255
3/8/2018,261
3/9/2018,263
3/10/2018,270
3/11/2018,270
3/12/2018,272
3/13/2018,276
3/14/2018,277
3/15/2018,277
3/16/2018,279
3/17/2018,284
3/18/2018,284
3/19/2018,287
3/20/2018,292
3/21/2018,299
3/22/2018,300
3/23/2018,303
3/24/2018,311
3/25/2018,311
3/26/2018,311
3/27/2018,316
3/28/2018,321
3/29/2018,328
3/30/2018,331
3/31/2018,334
4/1/2018,123
4/2/2018,124
4/3/2018,131
4/4/2018,141
4/5/2018,144
4/6/2018,145
4/7/2018,153
4/8/2018,153
4/9/2018,159
4/10/2018,163
4/11/2018,165
4/12/2018,168
4/13/2018,177
4/14/2018,182
4/15/2018,182
4/16/2018,188
4/17/2018,191
4/18/2018,197
4/19/2018,197
4/20/2018,202
4/21/2018,207
4/22/2018,207
4/23/2018,209
4/24/2018,214
4/25/2018,221
4/26/2018,223
4/27/2018,226
4/28/2018,233
4/29/2018,233
4/30/2018,237
5/1/2018,243
5/2/2018,252
5/3/2018,257
5/4/2018,260
5/5/2018,264
5/6/2018,264
5/7/2018,270
5/8/2018,274
5/9/2018,277
5/10/2018,286
5/11/2018,292
5/12/2018,295
5/13/2018,295
5/14/2018,299
5/15/2018,302
5/16/2018,305
5/17/2018,312
5/18/2018,315
5/19/2018,326
5/20/2018,326
5/21/2018,334
5/22/2018,338
5/23/2018,344
5/24/2018,351
5/25/2018,352
5/26/2018,364
5/27/2018,364
5/28/2018,364
5/29/2018,367
5/30/2018,373
5/31/2018,377
6/1/2018,379
6/2/2018,393
6/3/2018,393
6/4/2018,397
6/5/2018,408
6/6/2018,409
6/7/2018,411
6/8/2018,415
6/9/2018,420
6/10/2018,157
6/11/2018,160
6/12/2018,163
6/13/2018,166
6/14/2018,168
6/15/2018,179
6/16/2018,180
6/17/2018,180
6/18/2018,182
6/19/2018,190
6/20/2018,192
6/21/2018,197
6/22/2018,199
6/23/2018,212
6/24/2018,212
6/25/2018,214
6/26/2018,218
6/27/2018,220
6/28/2018,232
6/29/2018,235
6/30/2018,239
7/1/2018,239
7/2/2018,245
7/3/2018,248
7/4/2018,251
7/5/2018,251
7/6/2018,251
7/7/2018,261
7/8/2018,261
7/9/2018,266
7/10/2018,269
7/11/2018,275
7/12/2018,281
7/13/2018,285
7/14/2018,293
7/15/2018,293
7/16/2018,300
7/17/2018,307
7/18/2018,312
7/19/2018,319
7/20/2018,327
7/21/2018,331
7/22/2018,331
7/23/2018,338
7/24/2018,346
7/25/2018,353
7/26/2018,359
7/27/2018,362
7/28/2018,366
7/29/2018,366
7/30/2018,373
7/31/2018,381
8/1/2018,385
8/2/2018,392
8/3/2018,396
8/4/2018,398
8/5/2018,398
8/6/2018,402
8/7/2018,403
8/8/2018,409
8/9/2018,412
8/10/2018,415
8/11/2018,421
8/12/2018,421
8/13/2018,425
8/14/2018,430
8/15/2018,441
8/16/2018,445
